Row 18, label PEFNTVTY, used 926: Columbia
Row 1855, label PEMNTVTY, used 179: United-States
Row 1855, label PENATVTY, used 179: United-States
Row 1870, label PEFNTVTY, used 0: United-States
Row 1870, label PEMNTVTY, used 0: United-States
Row 1870, label PENATVTY, used 0: United-States
Row 1886, label PEFNTVTY, used 3: United-States
Row 1886, label PEMNTVTY, used 3: United-States
Row 1886, label PENATVTY, used 3: United-States
Row 1901, label PEFNTVTY, used 132329: United-States
Row 1901, label PEMNTVTY, used 132329: United-States
Row 1901, label PENATVTY, used 132329: United-States
Row 1906, label PEMNTVTY, used 3: United-States
Row 1911, label PEFNTVTY, used 5513: United-States
Row 1911, label PEMNTVTY, used 5513: United-States
Row 1911, label PENATVTY, used 5513: United-States
Row 1952, label PEFNTVTY, used 1363: Poland
Row 1987, label PEFNTVTY, used 2522: United-States
Row 1987, label PEMNTVTY, used 2522: United-States
Row 1987, label PENATVTY, used 2522: United-States
Row 1994, label PEFNTVTY, used 49120: Dominican-Republic
Row 1994, label PEMNTVTY, used 49120: Dominican-Republic
Row 1994, label PENATVTY, used 49120: Dominican-Republic
Row 1999, label PEFNTVTY, used 700: United-States
Row 1999, label PEMNTVTY, used 700: United-States
Row 2007, label PEFNTVTY, used 15: United-States
Row 2007, label PEMNTVTY, used 15: United-States
Row 2007, label PENATVTY, used 15: United-States
Row 2012, label PEFNTVTY, used 28680: Italy
Row 2012, label PEMNTVTY, used 28680: United-States
Row 2016, label PEFNTVTY, used 68718: United-States
Row 2016, label PEMNTVTY, used 68718: United-States
Row 2016, label PENATVTY, used 68718: United-States
Row 2018, label PEFNTVTY, used 5766: United-States
Row 2025, label PEFNTVTY, used 3430: United-States
Row 2025, label PEMNTVTY, used 3430: United-States
Row 2039, label PEFNTVTY, used 297: United-States
Row 2039, label PEMNTVTY, used 297: United-States
Row 2039, label PENATVTY, used 297: United-States
Row 2043, label PEFNTVTY, used 14291: United-States
Row 2043, label PEMNTVTY, used 14291: United-States
Row 2043, label PENATVTY, used 14291: United-States
Row 2108, label PEFNTVTY, used 3: United-States
Row 2108, label PEMNTVTY, used 3: United-States
Row 2108, label PENATVTY, used 3: United-States
Row 2142, label PEFNTVTY, used 43261: United-States
Row 2142, label PENATVTY, used 43261: United-States
Row 2190, label PEFNTVTY, used 428: United-States
Row 2217, label PEFNTVTY, used 1687: United-States
Row 2288, label PEFNTVTY, used 15: United-States
Row 2288, label PEMNTVTY, used 15: United-States
Row 2295, label PEFNTVTY, used 13134: Peru
Row 2295, label PEMNTVTY, used 13134: Peru
Row 2295, label PENATVTY, used 13134: Peru
Row 2364, label PEMNTVTY, used 1282: United-States
Row 2373, label PEFNTVTY, used 259: United-States
Row 2373, label PEMNTVTY, used 259: United-States
Row 2402, label PEFNTVTY, used 179: United-States
Row 2402, label PEMNTVTY, used 179: United-States
Row 2402, label PENATVTY, used 179: United-States
Row 2435, label PEMNTVTY, used 179: United-States
Row 2456, label PEFNTVTY, used 3: United-States
Row 2456, label PEMNTVTY, used 3: United-States
Row 2456, label PENATVTY, used 3: United-States
Row 2463, label PEFNTVTY, used 3: United-States
Row 2463, label PEMNTVTY, used 3: United-States
Row 2505, label PEFNTVTY, used 1533: Ireland
Row 2520, label PEFNTVTY, used 119: United-States
Row 2528, label PEFNTVTY, used 19245: United-States
Row 2528, label PEMNTVTY, used 19245: United-States
Row 2528, label PENATVTY, used 19245: United-States
Row 2532, label PEFNTVTY, used 17398: China
Row 2532, label PEMNTVTY, used 17398: China
Row 2532, label PENATVTY, used 17398: China
Row 2562, label PEFNTVTY, used 133: United-States
Row 2630, label PEFNTVTY, used 6002: Puerto-Rico
Row 2630, label PEMNTVTY, used 6002: Puerto-Rico
Row 2648, label PEMNTVTY, used 15: United-States
Row 2711, label PEFNTVTY, used 9009: United-States
Row 2711, label PEMNTVTY, used 9009: United-States
Row 2711, label PENATVTY, used 9009: United-States
Row 2722, label PEFNTVTY, used 46: United-States
Row 2733, label PEFNTVTY, used 105726: Italy
Row 2733, label PEMNTVTY, used 105726: Italy
Row 2733, label PENATVTY, used 105726: United-States
Row 2784, label PEFNTVTY, used 740: United-States
Row 2784, label PEMNTVTY, used 740: United-States
Row 2818, label PEFNTVTY, used 417: United-States
Row 2818, label PEMNTVTY, used 417: United-States
Row 2853, label PEFNTVTY, used 15708: United-States
Row 2853, label PEMNTVTY, used 15708: United-States
Row 2957, label PEFNTVTY, used 1395: Mexico
Row 2957, label PEMNTVTY, used 1395: United-States
Row 2967, label PEFNTVTY, used 2261: Germany
Row 2967, label PEMNTVTY, used 2261: Germany
Row 2968, label PEFNTVTY, used 45611: United-States
Row 2999, label PEFNTVTY, used 3193: Cuba
Row 2999, label PEMNTVTY, used 3193: Cuba
Row 3000, label PEFNTVTY, used 595: United-States
Row 3000, label PEMNTVTY, used 595: United-States
Row 3000, label PENATVTY, used 595: United-States
Row 3022, label PEFNTVTY, used 7494: United-States
Row 3022, label PEMNTVTY, used 7494: United-States
Row 3022, label PENATVTY, used 7494: United-States
Row 3056, label PEFNTVTY, used 65: South Korea
Row 3067, label PEFNTVTY, used 155535: Puerto-Rico
Row 3081, label PEMNTVTY, used 3: United-States
Row 3096, label PEFNTVTY, used 17324: El-Salvador
Row 3096, label PEMNTVTY, used 17324: El-Salvador
Row 3096, label PENATVTY, used 17324: El-Salvador
Row 3104, label PEFNTVTY, used 114: United-States
Row 3104, label PENATVTY, used 114: United-States
Row 3113, label PEMNTVTY, used 194844: United-States
Row 3117, label PEMNTVTY, used 132: United-States
Row 3118, label PENATVTY, used 38737: United-States
Row 3135, label PEFNTVTY, used 4463: United-States
Row 3135, label PEMNTVTY, used 4463: United-States
Row 3177, label PEFNTVTY, used 95737: Puerto-Rico
Row 3177, label PEMNTVTY, used 95737: United-States
Row 3177, label PENATVTY, used 95737: United-States
Row 3207, label PEFNTVTY, used 812: Poland
Row 3207, label PEMNTVTY, used 812: United-States
Row 3207, label PENATVTY, used 812: United-States
Row 3208, label PEFNTVTY, used 3: United-States
Row 3208, label PEMNTVTY, used 3: United-States
Row 3235, label PEFNTVTY, used 473: United-States
Row 3235, label PEMNTVTY, used 473: United-States
Row 3235, label PENATVTY, used 473: United-States
Row 3237, label PEFNTVTY, used 65: South Korea
Row 3237, label PEMNTVTY, used 65: United-States
Row 3285, label PEFNTVTY, used 139358: Columbia
Row 3285, label PEMNTVTY, used 139358: Columbia
Row 3285, label PENATVTY, used 139358: Columbia
Row 3301, label PEFNTVTY, used 950: United-States
Row 3301, label PEMNTVTY, used 950: United-States
Row 3301, label PENATVTY, used 950: United-States
Row 3305, label PEFNTVTY, used 46: United-States
Row 3319, label PEFNTVTY, used 78891: Mexico
Row 3319, label PEMNTVTY, used 78891: United-States
Row 3319, label PENATVTY, used 78891: United-States
Row 3327, label PEMNTVTY, used 1231: Columbia
Row 3327, label PENATVTY, used 1231: Columbia
Row 3392, label PEFNTVTY, used 139305: United-States
Row 3392, label PEMNTVTY, used 139305: United-States
Row 3392, label PENATVTY, used 139305: United-States
Row 3425, label PEFNTVTY, used 3: United-States
Row 3438, label PEFNTVTY, used 3: United-States
Row 3438, label PEMNTVTY, used 3: United-States
Row 3439, label PEFNTVTY, used 726: United-States
Row 3439, label PEMNTVTY, used 726: United-States
Row 3455, label PEFNTVTY, used 25249: United-States
Row 3455, label PEMNTVTY, used 25249: United-States
Row 3501, label PEFNTVTY, used 6556: United-States
Row 3501, label PEMNTVTY, used 6556: United-States
Row 3614, label PEFNTVTY, used 34: United-States
Row 3623, label PEFNTVTY, used 6315: Columbia
Row 3623, label PEMNTVTY, used 6315: Columbia
Row 3669, label PEFNTVTY, used 2070: Italy
Row 3669, label PEMNTVTY, used 2070: United-States
Row 3672, label PEFNTVTY, used 11140: United-States
Row 3672, label PENATVTY, used 11140: United-States
Row 3722, label PEFNTVTY, used 100895: Hungary
Row 3722, label PEMNTVTY, used 100895: Hungary
Row 3722, label PENATVTY, used 100895: United-States
Row 3786, label PEFNTVTY, used 2722: United-States
Row 3786, label PEMNTVTY, used 2722: United-States
Row 3795, label PEFNTVTY, used 13140: Columbia
Row 3795, label PEMNTVTY, used 13140: Columbia
Row 3795, label PENATVTY, used 13140: Columbia
Row 3814, label PEFNTVTY, used 100: United-States
Row 3814, label PEMNTVTY, used 100: United-States
Row 3862, label PEFNTVTY, used 3944: Guatemala
Row 3862, label PEMNTVTY, used 3944: Guatemala
Row 3862, label PENATVTY, used 3944: United-States
Row 3899, label PEFNTVTY, used 179: United-States
Row 3899, label PEMNTVTY, used 179: United-States
Row 3911, label PEFNTVTY, used 18126: United-States
Row 3911, label PEMNTVTY, used 18126: United-States
Row 3911, label PENATVTY, used 18126: United-States
Row 3915, label PEFNTVTY, used 127: United-States
Row 3915, label PEMNTVTY, used 127: United-States
Row 3919, label PEFNTVTY, used 3: United-States
Row 3919, label PEMNTVTY, used 3: United-States
Row 3948, label PEFNTVTY, used 3: United-States
Row 3948, label PEMNTVTY, used 3: United-States
Row 3948, label PENATVTY, used 3: United-States
Row 3951, label PEFNTVTY, used 2416: United-States
Row 3958, label PEMNTVTY, used 3: United-States
Row 3992, label PEFNTVTY, used 371: Taiwan
Row 3992, label PEMNTVTY, used 371: Taiwan
Row 3992, label PENATVTY, used 371: Taiwan
Row 4012, label PEFNTVTY, used 4557: United-States
Row 4029, label PEFNTVTY, used 7082: United-States
Row 4029, label PEMNTVTY, used 7082: United-States
Row 4064, label PEFNTVTY, used 48800: United-States
Row 4064, label PEMNTVTY, used 48800: Mexico
Row 4064, label PENATVTY, used 48800: United-States
Row 4107, label PENATVTY, used 384: United-States
Row 4136, label PENATVTY, used 189138: United-States
Row 4148, label PEFNTVTY, used 15611: United-States
Row 4163, label PEFNTVTY, used 10156: United-States
Row 4173, label PEFNTVTY, used 87580: Germany
Row 4173, label PEMNTVTY, used 87580: Germany
Row 4173, label PENATVTY, used 87580: Germany
Row 4208, label PEFNTVTY, used 98810: United-States
Row 4208, label PEMNTVTY, used 98810: United-States
Row 4208, label PENATVTY, used 98810: United-States
Row 4257, label PEFNTVTY, used 119: United-States
Row 4257, label PEMNTVTY, used 119: United-States
Row 4284, label PEMNTVTY, used 114: United-States
Row 4290, label PEFNTVTY, used 1533: Ireland
Row 4290, label PEMNTVTY, used 1533: Ireland
Row 4292, label PEFNTVTY, used 44: United-States
Row 4292, label PEMNTVTY, used 44: United-States
Row 4292, label PENATVTY, used 44: United-States
Row 4341, label PEFNTVTY, used 114: United-States
Row 4341, label PEMNTVTY, used 114: United-States
Row 4341, label PENATVTY, used 114: United-States
Row 4437, label PEMNTVTY, used 27210: United-States
Row 4440, label PENATVTY, used 133: United-States
Row 4441, label PEFNTVTY, used 0: United-States
Row 4441, label PEMNTVTY, used 0: United-States
Row 4442, label PEFNTVTY, used 34: United-States
Row 4442, label PEMNTVTY, used 34: United-States
Row 4481, label PEFNTVTY, used 428: United-States
Row 4481, label PEMNTVTY, used 428: United-States
Row 4516, label PEFNTVTY, used 15: United-States
Row 4521, label PEFNTVTY, used 87: United-States
Row 4521, label PEMNTVTY, used 87: United-States
Row 4521, label PENATVTY, used 87: United-States
Row 4540, label PEFNTVTY, used 3: United-States
Row 4540, label PEMNTVTY, used 3: United-States
Row 4540, label PENATVTY, used 3: United-States
Row 4567, label PENATVTY, used 10822: United-States
Row 4580, label PEMNTVTY, used 44: United-States
Row 4615, label PEMNTVTY, used 15: United-States
Row 4626, label PEMNTVTY, used 6367: Canada
Row 4648, label PEFNTVTY, used 1306: United-States
Row 4684, label PEMNTVTY, used 11424: United-States
Row 4696, label PEFNTVTY, used 26331: United-States
Row 4705, label PEFNTVTY, used 164539: United-States
Row 4705, label PEMNTVTY, used 164539: United-States
Row 4705, label PENATVTY, used 164539: United-States
Row 4723, label PEFNTVTY, used 216: United-States
Row 4723, label PEMNTVTY, used 216: United-States
Row 4750, label PEFNTVTY, used 5077: Jamaica
Row 4750, label PEMNTVTY, used 5077: Jamaica
Row 4750, label PENATVTY, used 5077: Jamaica
Row 4758, label PEFNTVTY, used 100: United-States
Row 4758, label PEMNTVTY, used 100: United-States
Row 4764, label PEMNTVTY, used 3: United-States
Row 4783, label PEFNTVTY, used 114: United-States
Row 4783, label PEMNTVTY, used 114: United-States
Row 4783, label PENATVTY, used 114: United-States
Row 4796, label PEFNTVTY, used 109672: United-States
Row 4796, label PEMNTVTY, used 109672: United-States
Row 4796, label PENATVTY, used 109672: United-States
Row 4812, label PEFNTVTY, used 5813: United-States
Row 4812, label PEMNTVTY, used 5813: United-States
Row 4812, label PENATVTY, used 5813: United-States
Row 4822, label PEFNTVTY, used 8092: Ecuador
Row 4822, label PEMNTVTY, used 8092: Ecuador
Row 4823, label PEFNTVTY, used 185070: United-States
Row 4823, label PEMNTVTY, used 185070: United-States
Row 4957, label PENATVTY, used 14995: United-States
Row 4967, label PEFNTVTY, used 114: United-States
Row 4997, label PEFNTVTY, used 60: United-States
Row 4997, label PEMNTVTY, used 60: United-States
Row 4997, label PENATVTY, used 60: United-States
Row 5024, label PEFNTVTY, used 110305: United-States
Row 5035, label PEMNTVTY, used 179: United-States
Row 5036, label PEFNTVTY, used 34: United-States
Row 5036, label PEMNTVTY, used 34: United-States
Row 5075, label PEMNTVTY, used 65: United-States
Row 5083, label PEFNTVTY, used 30263: United-States
Row 5083, label PEMNTVTY, used 30263: United-States
Row 5083, label PENATVTY, used 30263: United-States
Row 5103, label PEFNTVTY, used 119: United-States
Row 5103, label PEMNTVTY, used 119: United-States
Row 5104, label PEFNTVTY, used 219: United-States
Row 5171, label PEMNTVTY, used 43481: United-States
Row 5184, label PEMNTVTY, used 3: United-States
Row 5200, label PEMNTVTY, used 6121: United-States
Row 5286, label PEFNTVTY, used 65: South Korea
Row 5286, label PEMNTVTY, used 65: United-States
Row 5294, label PEFNTVTY, used 10633: United-States
Row 5298, label PENATVTY, used 25287: United-States
Row 5458, label PEFNTVTY, used 65: South Korea
Row 5458, label PEMNTVTY, used 65: United-States
Row 5458, label PENATVTY, used 65: United-States
Row 5460, label PEFNTVTY, used 805: United-States
Row 5469, label PEMNTVTY, used 129: Vietnam
Row 5469, label PENATVTY, used 129: Vietnam
Row 5492, label PEFNTVTY, used 3: United-States
Row 5507, label PEFNTVTY, used 114: United-States
Row 5521, label PEMNTVTY, used 807: United-States
Row 5521, label PENATVTY, used 807: United-States
Row 5556, label PEFNTVTY, used 46: United-States
Row 5556, label PEMNTVTY, used 46: United-States
Row 5700, label PEFNTVTY, used 3268: United-States
Row 5700, label PEMNTVTY, used 3268: United-States
Row 5700, label PENATVTY, used 3268: United-States
Row 5702, label PEFNTVTY, used 361: United-States
Row 5702, label PEMNTVTY, used 361: United-States
Row 5735, label PEFNTVTY, used 105044: Dominican-Republic
Row 5735, label PEMNTVTY, used 105044: Dominican-Republic
Row 5735, label PENATVTY, used 105044: Dominican-Republic
Row 5755, label PEFNTVTY, used 473: United-States
Row 5755, label PEMNTVTY, used 473: United-States
Row 5785, label PEFNTVTY, used 3: United-States
Row 5807, label PEFNTVTY, used 1016: United-States
Row 5807, label PEMNTVTY, used 1016: United-States
Row 5807, label PENATVTY, used 1016: United-States
Row 5815, label PEFNTVTY, used 144599: Philippines
Row 5815, label PEMNTVTY, used 144599: Philippines
Row 5815, label PENATVTY, used 144599: Philippines
Row 5835, label PEFNTVTY, used 129: Vietnam
Row 5835, label PEMNTVTY, used 129: Vietnam
Row 5855, label PEFNTVTY, used 4375: United-States
Row 5855, label PEMNTVTY, used 4375: United-States
Row 5880, label PEFNTVTY, used 3696: United-States
Row 5880, label PEMNTVTY, used 3696: United-States
Row 5951, label PEFNTVTY, used 21829: United-States
Row 6022, label PEFNTVTY, used 15: United-States
Row 6022, label PEMNTVTY, used 15: United-States
Row 6022, label PENATVTY, used 15: United-States
Row 6062, label PEFNTVTY, used 34001: United-States
Row 6062, label PEMNTVTY, used 34001: United-States
Row 6062, label PENATVTY, used 34001: United-States
Row 6098, label PEFNTVTY, used 10649: United-States
Row 6098, label PEMNTVTY, used 10649: United-States
Row 6098, label PENATVTY, used 10649: United-States
Row 6112, label PEFNTVTY, used 1793: United-States
Row 6194, label PEFNTVTY, used 2872: United-States
Row 6198, label PEFNTVTY, used 1739: United-States
Row 6205, label PEFNTVTY, used 417: United-States
Row 6214, label PEFNTVTY, used 133: United-States
Row 6214, label PEMNTVTY, used 133: United-States
Row 6214, label PENATVTY, used 133: United-States
Row 6241, label PEMNTVTY, used 17328: United-States
Row 6261, label PEFNTVTY, used 2261: Germany
Row 6261, label PEMNTVTY, used 2261: Germany
Row 6267, label PEFNTVTY, used 22701: United-States
Row 6267, label PENATVTY, used 22701: United-States
Row 6271, label PEFNTVTY, used 1050: United-States
Row 6271, label PEMNTVTY, used 1050: United-States
Row 6272, label PEFNTVTY, used 294: United-States
Row 6299, label PEMNTVTY, used 15956: United-States
Row 6309, label PEFNTVTY, used 428: United-States
Row 6309, label PEMNTVTY, used 428: United-States
Row 6320, label PEFNTVTY, used 552: United-States
Row 6320, label PEMNTVTY, used 552: United-States
Row 6329, label PEFNTVTY, used 46: United-States
Row 6359, label PEFNTVTY, used 68718: United-States
Row 6359, label PEMNTVTY, used 68718: United-States
Row 6359, label PENATVTY, used 68718: United-States
Row 6363, label PEFNTVTY, used 11469: United-States
Row 6371, label PEMNTVTY, used 15: United-States
Row 6413, label PEFNTVTY, used 3: United-States
Row 6444, label PEFNTVTY, used 891: United-States
Row 6496, label PEFNTVTY, used 44: United-States
Row 6512, label PEFNTVTY, used 133: United-States
Row 6522, label PEFNTVTY, used 100: United-States
Row 6522, label PEMNTVTY, used 100: United-States
Row 6557, label PEFNTVTY, used 127: United-States
Row 6557, label PEMNTVTY, used 127: United-States
Row 6557, label PENATVTY, used 127: United-States
Row 6572, label PEFNTVTY, used 35578: El-Salvador
Row 6572, label PEMNTVTY, used 35578: El-Salvador
Row 6572, label PENATVTY, used 35578: El-Salvador
Row 6643, label PEFNTVTY, used 2501: United-States
Row 6643, label PEMNTVTY, used 2501: United-States
Row 6643, label PENATVTY, used 2501: United-States
Row 6674, label PEFNTVTY, used 3: United-States
Row 6674, label PEMNTVTY, used 3: United-States
Row 6701, label PEFNTVTY, used 87228: United-States
Row 6702, label PEFNTVTY, used 224: United-States
Row 6714, label PEFNTVTY, used 2689: United-States
Row 6714, label PEMNTVTY, used 2689: United-States
Row 6714, label PENATVTY, used 2689: United-States
Row 6725, label PEFNTVTY, used 6359: United-States
Row 6725, label PEMNTVTY, used 6359: United-States
Row 6731, label PEFNTVTY, used 3: United-States
Row 6731, label PEMNTVTY, used 3: United-States
Row 6731, label PENATVTY, used 3: United-States
Row 6745, label PEMNTVTY, used 133: United-States
Row 6793, label PEFNTVTY, used 46: United-States
Row 6793, label PEMNTVTY, used 46: United-States
Row 6793, label PENATVTY, used 46: United-States
Row 6802, label PEFNTVTY, used 653: United-States
Row 6807, label PEFNTVTY, used 65: South Korea
Row 6817, label PEMNTVTY, used 49120: Dominican-Republic
Row 6837, label PEMNTVTY, used 3141: United-States
Row 6839, label PEMNTVTY, used 1343: United-States
Row 6848, label PEMNTVTY, used 3: United-States
Row 6849, label PEFNTVTY, used 6368: Columbia
Row 6849, label PEMNTVTY, used 6368: Columbia
Row 6849, label PENATVTY, used 6368: Columbia
Row 6866, label PEFNTVTY, used 39849: United-States
Row 6888, label PEFNTVTY, used 21604: United-States
Row 6918, label PEFNTVTY, used 857: United-States
Row 6918, label PEMNTVTY, used 857: United-States
Row 6918, label PENATVTY, used 857: United-States
Row 6952, label PEFNTVTY, used 67476: Dominican-Republic
Row 6952, label PEMNTVTY, used 67476: Dominican-Republic
Row 6964, label PEMNTVTY, used 664: United-States
Row 6964, label PENATVTY, used 664: United-States
Row 6966, label PEFNTVTY, used 726: United-States
Row 6972, label PEFNTVTY, used 23780: Dominican-Republic
Row 6972, label PEMNTVTY, used 23780: Dominican-Republic
Row 6972, label PENATVTY, used 23780: Dominican-Republic
Row 7002, label PEFNTVTY, used 9512: United-States
Row 7002, label PEMNTVTY, used 9512: United-States
Row 7002, label PENATVTY, used 9512: United-States
Row 7037, label PENATVTY, used 7624: Nicaragua
Row 7044, label PEMNTVTY, used 5469: United-States
Row 7059, label PEFNTVTY, used 83266: United-States
Row 7059, label PEMNTVTY, used 83266: United-States
Row 7061, label PEFNTVTY, used 27335: China
Row 7061, label PEMNTVTY, used 27335: China
Row 7061, label PENATVTY, used 27335: United-States
Row 7101, label PEFNTVTY, used 32080: United-States
Row 7139, label PEFNTVTY, used 3: United-States
Row 7151, label PEMNTVTY, used 3: United-States
Row 7167, label PEFNTVTY, used 172231: United-States
Row 7168, label PEFNTVTY, used 3944: Guatemala
Row 7168, label PEMNTVTY, used 3944: Guatemala
Row 7168, label PENATVTY, used 3944: United-States
Row 7185, label PEFNTVTY, used 1927: Philippines
